Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",133.420000,-81.500000,-90.000000,bottom
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",133.460000,-77.500000,-90.000000,bottom
"J4","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",126.000000,-80.000000,180.000000,bottom
"U1","ESP32-C6-WROOM-1","ESP32-C6-WROOM-1",130.250000,-64.250000,180.000000,bottom
"C1","100n","C_01005_0402Metric",126.500000,-68.662500,90.000000,top
"C2","22u","C_0805_2012Metric",124.000000,-68.805000,180.000000,top
"C3","22u","C_0805_2012Metric",124.000000,-66.500000,180.000000,top
"C4","1u","C_0603_1608Metric",132.700000,-56.775000,-90.000000,top
"C5","10u","C_0603_1608Metric",136.500000,-60.500000,90.000000,top
"C6","100n","C_01005_0402Metric",135.000000,-59.687500,90.000000,top
"D1","POWER","LED_0603_1608Metric",125.500000,-62.500000,180.000000,top
"D4","ESD3.3","D_SOD-923",134.500000,-56.000000,90.000000,top
"R1","5.1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",127.500000,-79.500000,-90.000000,top
"R2","5.1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",124.500000,-79.500000,-90.000000,top
"R3","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",125.097500,-60.500000,180.000000,top
"R7","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",136.000000,-56.702500,90.000000,top
"R8","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",125.097500,-58.500000,180.000000,top
"SW1","RESET","SW_SPST_B3U-1000P",129.000000,-56.500000,180.000000,top
"U2","USBLC6-2SC6","SOT-23-6",126.500000,-72.500000,90.000000,top
"U3","LM1117DT-3.3","TO-252-3_TabPin2",133.565000,-66.525000,0.000000,top
